"data.hotel.1.","buss_service","clean","frontdesk","value","rooms","location"
"1","100407",-0.163299316185545,0.420270296561245,0.440204389240067,0.288959130548248,0.582684352221139,0.184961771723905
"1","100504",0.524391601677247,0.551068248753614,0.612746084564232,0.637675963540954,0.645936188362882,0.406889502321591
"1","100505",0.622116472025155,0.68141218516185,0.608876651899559,0.733185940540606,0.718406962608806,0.466547239683067
"1","100506",NA,0.72713635892085,0.79303097600165,0.807371035552399,0.857144412054766,0.279734597586186
"1","100507",0.389844880144569,0.549312469839614,0.534119306707515,0.54564437837211,0.71404158382562,0.274433193523412
"1","100508",0.335968420452646,0.791700419686317,0.518978134241764,0.881543446984244,0.774354596223525,0.518460787787967
"1","100509",0.561942558169537,0.550436482038889,0.637361805516093,0.539919498187053,0.695957443122064,0.276696932048838
"1","100513",NA,NA,NA,NA,NA,NA
"1","100527",0.514255392941799,0.595902903245377,0.604448674460106,0.702939985645908,0.661895101519889,0.395145030193183
"1","1005302",0.609849578616645,0.882352941176471,1,1,0.809154779878678,0.809154779878678
"1","100531",NA,NA,NA,NA,NA,NA
"1","100537",0.815638465524142,0.682923521883015,0.538799991854342,0.74611159537608,0.726742669866659,0.267238639873733
"1","100538",NA,0.468945095147015,0.774596669241483,0.750174239505002,0.693877551020408,0.345837181657248
"1","100540",0.557986167397215,0.641668199547764,0.67915613050825,0.639701862465265,0.716862398164235,0.500772632972597
"1","100542",0.332641109606538,0.52796344295209,0.514665576028072,0.553135764896237,0.588666842127609,0.304942005221723
"1","100544",0.188122413784011,0.567081760097568,0.501795605951375,0.621188639995668,0.657831256294993,0.438622131911076
"1","1005459",NA,-0.140642169281549,NA,0.481543412343077,0.371867872080547,0.609449400220044
"1","100547",0.578322854034336,0.709010453201488,0.554883217934313,0.708510046070261,0.749672147834655,0.470458151060446
"1","100550",-0.333333333333333,0.582685632583384,0.674199862463242,0.517241379310345,0.926302172234155,0.435194139889245
"1","100554",0.583504064329889,0.581888428927774,0.650519463847203,0.679487340963493,0.678244038595652,0.461131344653488
"1","100560",0.574729399328132,0.618533196413971,0.670415719144093,0.698654569228092,0.620032174956848,0.366253890626794
"1","100561",0.652793518552012,0.755787323695117,0.699439155819428,0.758907361484222,0.740685024351815,0.533213660933915
"1","100562",0.444218432823544,0.616473258020757,0.506830778227907,0.613177642506289,0.675605739438028,0.37147703093816
"1","1005628",NA,NA,NA,NA,NA,NA
"1","100564",0.485346601734991,0.715261119692716,0.501114073951045,0.734672881461977,0.787452530636161,0.450693538892408
"1","100565",0.501745206004254,0.504387592180014,0.628735522508503,0.575039788406372,0.701908032433614,0.434982009660839
"1","1005656",0.816496580927726,0.650127244385654,0.833333333333333,0.819572038657416,0.793575393243707,0.630710823793828
